gsm_id	sample_id	donor	modality	filename	data_type	url	size_mb	size_bytes	file_id	accession
B006-A-001	B006-A-001	B006	scRNA	B006-A-001_barcodes.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121151/download	2.54	2542003	2121151	10.5061/dryad.8pk0p2ns8
B006-A-001	B006-A-001	B006	scRNA	B006-A-001_features.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121150/download	2.33	2325864	2121150	10.5061/dryad.8pk0p2ns8
B006-A-001	B006-A-001	B006	scRNA	B006-A-001_matrix.mtx.gz	rna_mtx	https://datadryad.org/api/v2/files/2121154/download	104.99	104987198	2121154	10.5061/dryad.8pk0p2ns8
B006-A-002	B006-A-002	B006	scRNA	B006-A-002_barcodes.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121147/download	2.54	2542003	2121147	10.5061/dryad.8pk0p2ns8
B006-A-002	B006-A-002	B006	scRNA	B006-A-002_features.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121148/download	3.85	3854742	2121148	10.5061/dryad.8pk0p2ns8
B006-A-002	B006-A-002	B006	scRNA	B006-A-002_matrix.mtx.gz	rna_mtx	https://datadryad.org/api/v2/files/2121153/download	126.87	126867100	2121153	10.5061/dryad.8pk0p2ns8
B006-A-101	B006-A-101	B006	scRNA	B006-A-101_barcodes.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121146/download	2.54	2542003	2121146	10.5061/dryad.8pk0p2ns8
B006-A-101	B006-A-101	B006	scRNA	B006-A-101_features.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121145/download	2.51	2512325	2121145	10.5061/dryad.8pk0p2ns8
B006-A-101	B006-A-101	B006	scRNA	B006-A-101_matrix.mtx.gz	rna_mtx	https://datadryad.org/api/v2/files/2121149/download	92.05	92047984	2121149	10.5061/dryad.8pk0p2ns8
B006-A-201	B006-A-201	B006	scRNA	B006-A-201_barcodes.tsv.gz	rna_mtx	https://datadryad.org/api/v2/files/2121142/download	2.54	2542003	2121142	10.5061/dryad.8pk0p2ns8
