gsm_id	sample_id	filename	data_type	url	size_mb	gse_id
GSM9037718	Seq_of_PLWH008_A_CD3	GSM9037718_B008A_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037718/suppl/GSM9037718_B008A_RNA_barcodes.tsv.gz	2.4	GSE299348
GSM9037718	Seq_of_PLWH008_A_CD3	GSM9037718_B008A_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037718/suppl/GSM9037718_B008A_RNA_features.tsv.gz	0.3	GSE299348
GSM9037718	Seq_of_PLWH008_A_CD3	GSM9037718_B008A_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037718/suppl/GSM9037718_B008A_RNA_matrix.mtx.gz	113.0	GSE299348
GSM9037719	Seq_of_PLWH008_B_CD3	GSM9037719_B008B_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037719/suppl/GSM9037719_B008B_RNA_barcodes.tsv.gz	2.4	GSE299348
GSM9037719	Seq_of_PLWH008_B_CD3	GSM9037719_B008B_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037719/suppl/GSM9037719_B008B_RNA_features.tsv.gz	0.3	GSE299348
GSM9037719	Seq_of_PLWH008_B_CD3	GSM9037719_B008B_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037719/suppl/GSM9037719_B008B_RNA_matrix.mtx.gz	132.7	GSE299348
GSM9037720	Seq_of_PLWH012_A_CD3	GSM9037720_B012A_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037720/suppl/GSM9037720_B012A_RNA_barcodes.tsv.gz	2.3	GSE299348
GSM9037720	Seq_of_PLWH012_A_CD3	GSM9037720_B012A_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037720/suppl/GSM9037720_B012A_RNA_features.tsv.gz	0.3	GSE299348
GSM9037720	Seq_of_PLWH012_A_CD3	GSM9037720_B012A_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037720/suppl/GSM9037720_B012A_RNA_matrix.mtx.gz	79.1	GSE299348
GSM9037721	Seq_of_PLWH012_B_CD3	GSM9037721_B012B_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037721/suppl/GSM9037721_B012B_RNA_barcodes.tsv.gz	2.4	GSE299348
GSM9037721	Seq_of_PLWH012_B_CD3	GSM9037721_B012B_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037721/suppl/GSM9037721_B012B_RNA_features.tsv.gz	0.3	GSE299348
GSM9037721	Seq_of_PLWH012_B_CD3	GSM9037721_B012B_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037721/suppl/GSM9037721_B012B_RNA_matrix.mtx.gz	80.1	GSE299348
GSM9037722	Seq_of_PLWH015_A_CD3	GSM9037722_B015A_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037722/suppl/GSM9037722_B015A_RNA_barcodes.tsv.gz	2.3	GSE299348
GSM9037722	Seq_of_PLWH015_A_CD3	GSM9037722_B015A_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037722/suppl/GSM9037722_B015A_RNA_features.tsv.gz	0.3	GSE299348
GSM9037722	Seq_of_PLWH015_A_CD3	GSM9037722_B015A_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037722/suppl/GSM9037722_B015A_RNA_matrix.mtx.gz	80.5	GSE299348
GSM9037723	Seq_of_PLWH015_B_CD3	GSM9037723_B015B_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037723/suppl/GSM9037723_B015B_RNA_barcodes.tsv.gz	2.3	GSE299348
GSM9037723	Seq_of_PLWH015_B_CD3	GSM9037723_B015B_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037723/suppl/GSM9037723_B015B_RNA_features.tsv.gz	0.3	GSE299348
GSM9037723	Seq_of_PLWH015_B_CD3	GSM9037723_B015B_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037723/suppl/GSM9037723_B015B_RNA_matrix.mtx.gz	78.4	GSE299348
GSM9037724	Seq_of_PLWH017_A_CD3	GSM9037724_B017A_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037724/suppl/GSM9037724_B017A_RNA_barcodes.tsv.gz	2.3	GSE299348
GSM9037724	Seq_of_PLWH017_A_CD3	GSM9037724_B017A_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037724/suppl/GSM9037724_B017A_RNA_features.tsv.gz	0.3	GSE299348
GSM9037724	Seq_of_PLWH017_A_CD3	GSM9037724_B017A_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037724/suppl/GSM9037724_B017A_RNA_matrix.mtx.gz	62.1	GSE299348
GSM9037725	Seq_of_PLWH017_B_CD3	GSM9037725_B017B_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037725/suppl/GSM9037725_B017B_RNA_barcodes.tsv.gz	2.2	GSE299348
GSM9037725	Seq_of_PLWH017_B_CD3	GSM9037725_B017B_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037725/suppl/GSM9037725_B017B_RNA_features.tsv.gz	0.3	GSE299348
GSM9037725	Seq_of_PLWH017_B_CD3	GSM9037725_B017B_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037725/suppl/GSM9037725_B017B_RNA_matrix.mtx.gz	45.6	GSE299348
GSM9037726	Seq_of_PLWH023_A_CD3	GSM9037726_B023A_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037726/suppl/GSM9037726_B023A_RNA_barcodes.tsv.gz	2.3	GSE299348
GSM9037726	Seq_of_PLWH023_A_CD3	GSM9037726_B023A_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037726/suppl/GSM9037726_B023A_RNA_features.tsv.gz	0.3	GSE299348
GSM9037726	Seq_of_PLWH023_A_CD3	GSM9037726_B023A_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037726/suppl/GSM9037726_B023A_RNA_matrix.mtx.gz	89.3	GSE299348
GSM9037727	Seq_of_PLWH023_B_CD3	GSM9037727_B023B_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037727/suppl/GSM9037727_B023B_RNA_barcodes.tsv.gz	2.2	GSE299348
GSM9037727	Seq_of_PLWH023_B_CD3	GSM9037727_B023B_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037727/suppl/GSM9037727_B023B_RNA_features.tsv.gz	0.3	GSE299348
GSM9037727	Seq_of_PLWH023_B_CD3	GSM9037727_B023B_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037727/suppl/GSM9037727_B023B_RNA_matrix.mtx.gz	72.8	GSE299348
