name	template	output	queue	mem	priority	decoder_type_rna	decoder_type_atac	decoder_type_spliced	decoder_type_unspliced	burst_size_intercept	dispersion_init	dispersion_init_bio_frac	n_hidden	n_latent	results_folder	wandb_name	wandb_group	wandb_project	z_sparsity_prior	n_active_latent_per_cell	decoder_hidden_l1	hidden_activation_sparsity	n_active_hidden_per_cell	n_epochs_kl_warmup	use_kl_z	run_name	early_stopping_min_delta_per_feature	batch_size	horseshoe_latent_z_prior_type	horseshoe_latent_z_encoder_fraction	horseshoe_posterior_init_loc	horseshoe_posterior_init_scale	dispersion_hyper_prior_mean	dispersion_hyper_prior_alpha	dispersion_prior_direction	var_init_scale	use_softplus_var_activation	use_ard_z_sigma_scale	decoder_weight_l2	z_loc_init_scale	max_epochs	early_stopping_patience	exclude_datasets	n_hidden_rna	n_hidden_atac	n_hidden_spliced	n_hidden_unspliced	n_latent_rna	n_latent_atac	n_latent_spliced	n_latent_unspliced	library_log_means_centering_sensitivity	use_modality_balanced_encoder_init	decoder_init_variance_target_fraction	decoder_burst_size_init_variance_target_fraction	time	partition	paired_insertion_for_atac	qc_threshold_variant	qc_total_counts_min	qc_total_counts_max	qc_n_genes_by_counts_min	qc_n_genes_by_counts_max	qc_n_fragment_min	qc_n_fragment_max	qc_mt_frac_max	qc_scrublet_score_max
mouse_gastr_balencode_insertion_embryo_default	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_insertion_embryo_default_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_insertion_embryo_default	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_insertion_embryo_default	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	10	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	False	embryo_default	-	-	-	-	-	-	-	-
mouse_gastr_balencode_insertion_loose	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_insertion_loose_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_insertion_loose	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_insertion_loose	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	10	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	False	loose	800	80000	500	10000	1000	120000	0.20	0.25
mouse_gastr_balencode_paired_insertion_embryo_default	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_paired_insertion_embryo_default_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_paired_insertion_embryo_default	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_paired_insertion_embryo_default	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	10	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	True	embryo_default	-	-	-	-	-	-	-	-
mouse_gastr_balencode_paired_insertion_loose	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_paired_insertion_loose_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_paired_insertion_loose	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_paired_insertion_loose	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	10	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	True	loose	800	80000	500	10000	1000	120000	0.20	0.25
mouse_gastr_balencode_zloc50x_insertion_embryo_default	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_zloc50x_insertion_embryo_default_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_zloc50x_insertion_embryo_default	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_zloc50x_insertion_embryo_default	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	50	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	False	embryo_default	-	-	-	-	-	-	-	-
mouse_gastr_balencode_zloc50x_insertion_loose	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_zloc50x_insertion_loose_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_zloc50x_insertion_loose	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_zloc50x_insertion_loose	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	50	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	False	loose	800	80000	500	10000	1000	120000	0.20	0.25
mouse_gastr_balencode_zloc50x_paired_insertion_embryo_default	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_zloc50x_paired_insertion_embryo_default_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_zloc50x_paired_insertion_embryo_default	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_zloc50x_paired_insertion_embryo_default	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	50	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	True	embryo_default	-	-	-	-	-	-	-	-
mouse_gastr_balencode_zloc50x_paired_insertion_loose	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_zloc50x_paired_insertion_loose_out.ipynb	gpu-normal	80000	99	expected_RNA	expected_RNA	expected_RNA	expected_RNA	-	data	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_zloc50x_paired_insertion_loose	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_zloc50x_paired_insertion_loose	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	50	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	True	loose	800	80000	500	10000	1000	120000	0.20	0.25
mouse_gastr_balencode_burst_insertion_embryo_default	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_burst_insertion_embryo_default_out.ipynb	gpu-normal	80000	99	burst_frequency_size	expected_RNA	burst_frequency_size	burst_frequency_size	1.0	variance_burst_size	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_burst_insertion_embryo_default	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_burst_insertion_embryo_default	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	10	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	False	embryo_default	-	-	-	-	-	-	-	-
mouse_gastr_balencode_burst_insertion_loose	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/mouse_gastrulation_rna_atac_spliced_unspliced_slurm.ipynb	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results/mouse_gastr_balencode_burst_insertion_loose_out.ipynb	gpu-normal	80000	99	burst_frequency_size	expected_RNA	burst_frequency_size	burst_frequency_size	1.0	variance_burst_size	-	-	-	/nemo/lab/briscoej/home/users/kleshcv/cell2state_embryo/notebooks/benchmark/regularizedvi/results	mouse_gastr_balencode_burst_insertion_loose	mouse_gastr_balenc	regularizedvi_mouse_gastrulation	-	-	-	-	-	-	-	mouse_gastr_balencode_burst_insertion_loose	-	-	-	-	-	-	-	-	inverse_sqrt	0.1	1	-	0	10	-	-	-	-	-	-	-	-	-	-	-	-	True	-	-	2-00:00:00	ga100	False	loose	800	80000	500	10000	1000	120000	0.20	0.25
