name	template	output	queue	mem	priority	decoder_type_rna	decoder_type_atac	decoder_type_spliced	decoder_type_unspliced	burst_size_intercept	dispersion_init	dispersion_prior_mean	n_hidden	n_latent	results_folder	wandb_name	wandb_group	wandb_project	z_sparsity_prior	n_active_latent_per_cell	decoder_hidden_l1	hidden_activation_sparsity	n_active_hidden_per_cell	n_epochs_kl_warmup
immune_baseline_small_klw5	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_baseline_small_klw5_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	512	128	results/immune_baseline_small_klw5/	immune_baseline_small_klw5	z_sparsity	regularizedVI	-	-	-	-	-	5
immune_baseline_large_klw5	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_baseline_large_klw5_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	1024	256	results/immune_baseline_large_klw5/	immune_baseline_large_klw5	z_sparsity	regularizedVI	-	-	-	-	-	5
immune_burst_vbs2_int1_small_klw5	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_burst_vbs2_int1_small_klw5_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	512	128	results/immune_burst_vbs2_int1_small_klw5/	immune_burst_vbs2_int1_small_klw5	z_sparsity	regularizedVI	-	-	-	-	-	5
immune_burst_vbs2_int1_large_klw5	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_burst_vbs2_int1_large_klw5_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	1024	256	results/immune_burst_vbs2_int1_large_klw5/	immune_burst_vbs2_int1_large_klw5	z_sparsity	regularizedVI	-	-	-	-	-	5
bm_mm_burst_vbs2_int1_klw5	docs/notebooks/model_comparisons/bone_marrow_multimodal_tutorial_early_stopping.ipynb	docs/notebooks/model_comparisons/bm_mm_burst_vbs2_int1_klw5_out.ipynb	gpu-normal	40000	50	burst_frequency_size	expected_RNA	-	-	1.0	variance_burst_size	1.0	-	-	results/bm_mm_burst_vbs2_int1_klw5/	bm_mm_burst_vbs2_int1_klw5	z_sparsity	regularizedVI	-	-	-	-	-	5
embryo_burst_vbs2_int1_n_klw5	/nfs/team205/vk7/sanger_projects/cell2state_embryo/notebooks/benchmark/regularizedvi/embryo_rna_atac_spliced_unspliced.ipynb	/nfs/team205/vk7/sanger_projects/cell2state_embryo/notebooks/benchmark/regularizedvi/results/embryo_burst_vbs2_int1_n_klw5_out.ipynb	gpu-normal	300000	99	burst_frequency_size	expected_RNA	burst_frequency_size	burst_frequency_size	1.0	variance_burst_size	1.0	-	-	results/embryo_burst_vbs2_int1_n_klw5/	embryo_burst_vbs2_int1_n_klw5	z_sparsity	regularizedvi_embryo	-	-	-	-	-	5
immune_diag_baseline_hilatent	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_diag_baseline_hilatent_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	512	256	results/immune_diag_baseline_hilatent/	immune_diag_baseline_hilatent	z_sparsity	regularizedVI	-	-	-	-	-	-
immune_diag_baseline_hihidden	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_diag_baseline_hihidden_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	1024	128	results/immune_diag_baseline_hihidden/	immune_diag_baseline_hihidden	z_sparsity	regularizedVI	-	-	-	-	-	-
immune_diag_burst_hilatent	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_diag_burst_hilatent_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	512	256	results/immune_diag_burst_hilatent/	immune_diag_burst_hilatent	z_sparsity	regularizedVI	-	-	-	-	-	-
immune_diag_burst_hihidden	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_diag_burst_hihidden_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	1024	128	results/immune_diag_burst_hihidden/	immune_diag_burst_hihidden	z_sparsity	regularizedVI	-	-	-	-	-	-
immune_zsparse_baseline_small	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_baseline_small_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	512	128	results/immune_zsparse_baseline_small/	immune_zsparse_baseline_small	z_sparsity	regularizedVI	gamma	20	-	-	-	5
immune_zsparse_baseline_large	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_baseline_large_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	1024	256	results/immune_zsparse_baseline_large/	immune_zsparse_baseline_large	z_sparsity	regularizedVI	gamma	20	-	-	-	5
immune_zsparse_burst_small	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_burst_small_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	512	128	results/immune_zsparse_burst_small/	immune_zsparse_burst_small	z_sparsity	regularizedVI	gamma	20	-	-	-	5
immune_zsparse_burst_large	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_burst_large_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	1024	256	results/immune_zsparse_burst_large/	immune_zsparse_burst_large	z_sparsity	regularizedVI	gamma	20	-	-	-	5
immune_zsparse_hsparse_baseline_small	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_hsparse_baseline_small_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	512	128	results/immune_zsparse_hsparse_baseline_small/	immune_zsparse_hsparse_baseline_small	z_sparsity	regularizedVI	gamma	20	-	1	40	5
immune_zsparse_hsparse_baseline_large	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_hsparse_baseline_large_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	1024	256	results/immune_zsparse_hsparse_baseline_large/	immune_zsparse_hsparse_baseline_large	z_sparsity	regularizedVI	gamma	20	-	1	40	5
immune_zsparse_hsparse_burst_small	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_hsparse_burst_small_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	512	128	results/immune_zsparse_hsparse_burst_small/	immune_zsparse_hsparse_burst_small	z_sparsity	regularizedVI	gamma	20	-	1	40	5
immune_zsparse_hsparse_burst_large	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_hsparse_burst_large_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	1024	256	results/immune_zsparse_hsparse_burst_large/	immune_zsparse_hsparse_burst_large	z_sparsity	regularizedVI	gamma	20	-	1	40	5
immune_zsparse_l1_baseline_small	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_l1_baseline_small_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	512	128	results/immune_zsparse_l1_baseline_small/	immune_zsparse_l1_baseline_small	z_sparsity	regularizedVI	gamma	20	0.01	-	-	5
immune_zsparse_l1_baseline_large	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_l1_baseline_large_out.ipynb	gpu-normal	60000	50	expected_RNA	-	-	-	-	data	1.0	1024	256	results/immune_zsparse_l1_baseline_large/	immune_zsparse_l1_baseline_large	z_sparsity	regularizedVI	gamma	20	0.01	-	-	5
immune_zsparse_l1_burst_small	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_l1_burst_small_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	512	128	results/immune_zsparse_l1_burst_small/	immune_zsparse_l1_burst_small	z_sparsity	regularizedVI	gamma	20	0.01	-	-	5
immune_zsparse_l1_burst_large	docs/notebooks/immune_integration/bm_pbmc_rna_training_v3.ipynb	docs/notebooks/immune_integration/immune_zsparse_l1_burst_large_out.ipynb	gpu-normal	60000	50	burst_frequency_size	-	-	-	1.0	variance_burst_size	1.0	1024	256	results/immune_zsparse_l1_burst_large/	immune_zsparse_l1_burst_large	z_sparsity	regularizedVI	gamma	20	0.01	-	-	5
bm_mm_zsparse_burst_vbs2	docs/notebooks/model_comparisons/bone_marrow_multimodal_tutorial_early_stopping.ipynb	docs/notebooks/model_comparisons/bm_mm_zsparse_burst_vbs2_out.ipynb	gpu-normal	40000	50	burst_frequency_size	expected_RNA	-	-	1.0	variance_burst_size	1.0	-	-	results/bm_mm_zsparse_burst_vbs2/	bm_mm_zsparse_burst_vbs2	z_sparsity	regularizedVI	gamma	20	-	-	-	5
bm_mm_zsparse_hsparse_burst_vbs2	docs/notebooks/model_comparisons/bone_marrow_multimodal_tutorial_early_stopping.ipynb	docs/notebooks/model_comparisons/bm_mm_zsparse_hsparse_burst_vbs2_out.ipynb	gpu-normal	40000	50	burst_frequency_size	expected_RNA	-	-	1.0	variance_burst_size	1.0	-	-	results/bm_mm_zsparse_hsparse_burst_vbs2/	bm_mm_zsparse_hsparse_burst_vbs2	z_sparsity	regularizedVI	gamma	20	-	1	40	5
bm_mm_zsparse_l1_burst_vbs2	docs/notebooks/model_comparisons/bone_marrow_multimodal_tutorial_early_stopping.ipynb	docs/notebooks/model_comparisons/bm_mm_zsparse_l1_burst_vbs2_out.ipynb	gpu-normal	40000	50	burst_frequency_size	expected_RNA	-	-	1.0	variance_burst_size	1.0	-	-	results/bm_mm_zsparse_l1_burst_vbs2/	bm_mm_zsparse_l1_burst_vbs2	z_sparsity	regularizedVI	gamma	20	0.01	-	-	5
embryo_zsparse_hsparse_burst_vbs2	/nfs/team205/vk7/sanger_projects/cell2state_embryo/notebooks/benchmark/regularizedvi/embryo_rna_atac_spliced_unspliced.ipynb	/nfs/team205/vk7/sanger_projects/cell2state_embryo/notebooks/benchmark/regularizedvi/results/embryo_zsparse_hsparse_burst_vbs2_out.ipynb	gpu-normal	300000	99	burst_frequency_size	expected_RNA	burst_frequency_size	burst_frequency_size	1.0	variance_burst_size	1.0	-	-	results/embryo_zsparse_hsparse_burst_vbs2/	embryo_zsparse_hsparse_burst_vbs2	z_sparsity	regularizedvi_embryo	gamma	20	-	1	40	5
